id,name,state,lat,lon,static_susceptibility
1,Kohima,Nagaland,25.6751,94.1086,93.3
2,Wokha,Nagaland,26.0996,94.2649,56.0
3,Tuensang,Nagaland,26.2667,94.8333,59.3
4,Shillong,Meghalaya,25.5788,91.8933,93.5
5,Jowai,Meghalaya,25.45,92.2,50.6
6,Aizawl,Mizoram,23.7271,92.7176,97.3
7,Champhai,Mizoram,23.4667,93.3167,63.5
8,Lunglei,Mizoram,22.8874,92.7379,87.9
9,Itanagar,Arunachal Pradesh,27.0844,93.6053,59.7
10,Ziro,Arunachal Pradesh,27.5486,93.8259,71.4
11,Along,Arunachal Pradesh,28.1667,94.8,29.1
12,Gangtok,Sikkim,27.3389,88.6065,99.4
13,Kalimpong,Sikkim/WB border,27.0669,88.4712,95.8
14,Guwahati Hills,Assam,26.1584,91.7458,4.8
15,Haflong,Assam,25.1667,93.0167,29.6
16,Ukhrul,Manipur,25.0997,94.3626,98.2
17,Senapati,Manipur,25.2667,94.0167,90.6
18,Agartala Hills,Tripura,23.8315,91.4477,0.3
